Second,FPS
0,1.377775751590572
1,2.0260477573775524
2,1.9480342879830979
3,1.9175007994082347
4,1.9021228415623388
5,1.9673168897519446
6,1.9753734979582478
7,1.9435256591544747
8,1.9574425716061605
9,1.9365776756510595
10,1.998438561997917
11,1.9859230998686095
12,2.022642708425123
13,1.9678334423101835
14,2.009718173100375
15,2.019818472316161
16,1.9931825165275705
17,1.955342878212021
18,1.9776279904104386
19,1.9977999846972487
20,1.871511858653729
